explainer,corruption,severity,rho_mean,rho_sd,cos_mean,cos_sd,iou_mean,iou_sd,p_shift_mean,p_shift_sd,margin_shift_mean,margin_shift_sd,mmd_mean,mmd_sd,dE_abs_mean,dE_abs_sd,n_seeds
GradCAM,brightness,1,0.968386459350586,0.004224912878596854,0.9931349039077759,0.0011717661914304677,0.9278225183486939,0.006507851146035702,0.01114474534988398,0.001578589667268756,0.15971182286739344,0.01878721038253176,0.0,0.0,0.028640745207667316,0.0034607154544484837,5
GradCAM,brightness,2,0.9166073560714721,0.00902095006319943,0.9792639255523682,0.0023696415262755835,0.859202778339386,0.007833268348758759,0.018218151479959442,0.0025111186816098407,0.30012872815132136,0.027549502310009157,0.0,0.0,0.055381215363740875,0.006447246527446838,5
GradCAM,brightness,3,0.8592090129852294,0.012242629752303521,0.9629372239112854,0.0029999615098331477,0.798293948173523,0.011678107959983666,0.02314711399376386,0.0033348481695313027,0.42089582681655885,0.034265825876695626,0.0,0.0,0.08131947517395016,0.007740291682051098,5
GradCAM,brightness,5,0.6703145265579223,0.018026292359373954,0.9076565265655517,0.004681246224867061,0.6441463947296142,0.012450405762672173,0.03771122768521306,0.0006397279043131503,0.7654090523719788,0.012945036298938792,0.0001407384872436153,0.00014002615639635934,0.16169541776180263,0.0073311010413059825,5
GradCAM,fog,1,0.9236668229103089,0.004194376857777904,0.9810357689857483,0.001297590564326427,0.8616920232772827,0.007701083852745794,0.01732576414942736,0.0021047032984709514,0.27866573333740235,0.02418386219706682,0.0,0.0,0.05238372236490246,0.004576962641212564,5
GradCAM,fog,2,0.7726386547088623,0.010856101471850609,0.9373616576194763,0.003273303993216459,0.7190853476524353,0.013841288372485145,0.030429753661155662,0.004710372668281388,0.5725157618522644,0.04135482275997941,0.0,0.0,0.11749356240034096,0.010271303143325751,5
GradCAM,fog,3,0.6552690625190735,0.02509867331398065,0.9020735859870911,0.007350766754512615,0.6098076939582825,0.025255689311770548,0.0406202301383018,0.0036035910462982297,0.7820398926734924,0.05404785328797959,0.00064537525176998,0.00016849138568772066,0.17212091982364652,0.010005643998627831,5
GradCAM,fog,5,0.3322863161563873,0.02366386435217591,0.8074169993400574,0.006393257807411952,0.4092252552509308,0.01567597673045071,0.08541378229856486,0.008646476666765815,1.5631136417388916,0.0935665466637987,0.02136590480804438,0.0015453223027343712,0.3887403726577759,0.019004037703727144,5
GradCAM,gaussian_noise,1,0.6515377998352051,0.01808422398558392,0.9028932452201843,0.005496260384078625,0.6273208498954773,0.00905046929655028,0.040690703690051976,0.003723734345916131,0.797667407989502,0.0547259254466582,0.00178201198577876,0.0004293757564843536,0.1849837481975555,0.010758700503674322,5
GradCAM,gaussian_noise,2,0.4310307800769806,0.02829004983345414,0.8364911675453186,0.009633131530987186,0.492391836643219,0.015552918284460539,0.0722269013524055,0.005506575381370296,1.3421225786209106,0.058145008261777015,0.01650438308715814,0.0017347183350240073,0.3495680034160614,0.011989400861740945,5
