explainer,corruption,severity,rho_mean,rho_sd,cos_mean,cos_sd,iou_mean,iou_sd,p_shift_mean,p_shift_sd,margin_shift_mean,margin_shift_sd,mmd_mean,mmd_sd,dE_abs_mean,dE_abs_sd,n_seeds
GradCAM,brightness,1,0.9675679564476013,0.004784042975729017,0.9928705811500549,0.0013742184442321536,0.9270288348197937,0.006081416893163614,0.013815072923898641,0.001562905444612545,0.16403290331363674,0.018310988925711834,0.0,0.0,0.028640745207667316,0.0034607154544484837,5
GradCAM,brightness,2,0.9151145339012146,0.01055348287321372,0.9787973046302796,0.0028209918118473534,0.8595516562461853,0.008163958550304128,0.027165691182017282,0.003667897632474882,0.3174396812915802,0.030707415547531376,0.0,0.0,0.055381215363740875,0.006447246527446838,5
GradCAM,brightness,3,0.8565675020217896,0.013356077327334081,0.961285400390625,0.0034997075786368926,0.7960986733436585,0.013110870476137215,0.040374106913804955,0.004872926647780234,0.461879301071167,0.03376509381659517,0.0,0.0,0.08131947517395016,0.007740291682051098,5
GradCAM,brightness,5,0.6512739539146424,0.015576422877168348,0.8939112186431885,0.004929910396159869,0.6315739035606385,0.007949370486083032,0.096649657189846,0.008709591278205708,0.9044528126716613,0.028439009853166785,0.0001407384872436153,0.00014002615639635934,0.16169541776180263,0.0073311010413059825,5
GradCAM,fog,1,0.9229579210281372,0.005051130510425458,0.9804176926612854,0.0018081569846446239,0.8614416003227234,0.006952561380675911,0.02506667338311668,0.002936572038627745,0.29302889108657837,0.02575001443643356,0.0,0.0,0.05238372236490246,0.004576962641212564,5
GradCAM,fog,2,0.767266821861267,0.010259558667950367,0.9333466410636901,0.002512883133431759,0.7116462230682373,0.012903494169747924,0.05911964774131769,0.005268918976374121,0.6462473511695862,0.033170803036723887,0.0,0.0,0.11749356240034096,0.010271303143325751,5
GradCAM,fog,3,0.6400362730026246,0.02068141772705125,0.8903339147567749,0.006419029792561848,0.597791850566864,0.02060465533427571,0.10096662193536754,0.008094336640396443,0.9369305729866028,0.0463509491727354,0.00064537525176998,0.00016849138568772066,0.17212091982364652,0.010005643998627831,5
GradCAM,fog,5,0.2882402062416077,0.019367714418400215,0.7199749946594238,0.0059368571885955014,0.3672619044780731,0.01101532153962555,0.3346936464309692,0.009304817390588593,2.018613505363464,0.07247685249600533,0.02136590480804438,0.0015453223027343712,0.3887403726577759,0.019004037703727144,5
GradCAM,gaussian_noise,1,0.6236346960067749,0.01900266933038037,0.8818114638328552,0.007138239822813044,0.6011608362197876,0.009406846899971536,0.11965541243553157,0.007423265556368911,0.9928138732910157,0.05244005212775882,0.00178201198577876,0.0004293757564843536,0.1849837481975555,0.010758700503674322,5
GradCAM,gaussian_noise,2,0.36162276268005367,0.02624993577914129,0.7544562101364136,0.011916421619688559,0.4373005568981171,0.021275231403872705,0.2771612346172333,0.013498759665827685,1.7240102529525756,0.053638105085229294,0.01650438308715814,0.0017347183350240073,0.3495680034160614,0.011989400861740945,5
GradCAM,gaussian_noise,3,0.21562116444110865,0.020723697038743737,0.6264841318130493,0.013745977828252307,0.3180508315563202,0.003154454016831189,0.45757189989089964,0.01458399042017368,2.3878495693206787,0.06009195057150413,0.0504142045974731,0.004010984273700395,0.5116515994071961,0.01930840863458278,5
GradCAM,gaussian_noise,5,0.1415036708116531,0.010932098873589634,0.5005739033222198,0.00822694496568789,0.24834597110748285,0.012336741409585631,0.6114554524421691,0.016516918958160605,2.673591423034668,0.06646684944025907,0.09756820201873774,0.005199311095121117,0.5759553194046021,0.02494744050377703,5
IG,brightness,1,0.8396203756332398,0.0019369144376003892,0.9512418150901795,0.0011107241181095749,0.6435701966285705,0.003001406208606817,0.013815072923898641,0.001562905444612545,0.16403290331363674,0.018310988925711834,0.0,0.0,0.028640745207667316,0.0034607154544484837,5
IG,brightness,2,0.674945330619812,0.0028455748415097126,0.8678000092506408,0.0014243066047604413,0.4398808777332306,0.0026972732728440516,0.027165691182017282,0.003667897632474882,0.3174396812915802,0.030707415547531376,0.0,0.0,0.055381215363740875,0.006447246527446838,5
IG,brightness,3,0.5346386790275574,0.00408695354456674,0.7694123744964599,0.002377726578535615,0.30259110927581784,0.0026652756816256894,0.040374106913804955,0.004872926647780234,0.461879301071167,0.03376509381659517,0.0,0.0,0.08131947517395016,0.007740291682051098,5
IG,brightness,5,0.2767669677734375,0.0018724492118838286,0.5393178820610046,0.0017347226045993952,0.11583296209573743,0.001277689332715106,0.096649657189846,0.008709591278205708,0.9044528126716613,0.028439009853166785,0.0001407384872436153,0.00014002615639635934,0.16169541776180263,0.0073311010413059825,5
IG,fog,1,0.8427461147308349,0.0032685965656103684,0.9601826429367065,0.0008363800879081266,0.688297426700592,0.0042845099918462455,0.02506667338311668,0.002936572038627745,0.29302889108657837,0.02575001443643356,0.0,0.0,0.05238372236490246,0.004576962641212564,5
IG,fog,2,0.6775615096092225,0.005968137361521082,0.8785393118858338,0.002448932098493188,0.48275962471961975,0.004910988426028854,0.05911964774131769,0.005268918976374121,0.6462473511695862,0.033170803036723887,0.0,0.0,0.11749356240034096,0.010271303143325751,5
IG,fog,3,0.5578702449798584,0.007898396722996822,0.7969077229499817,0.005433479032753826,0.3637613356113434,0.007350808490184407,0.10096662193536754,0.008094336640396443,0.9369305729866028,0.0463509491727354,0.00064537525176998,0.00016849138568772066,0.17212091982364652,0.010005643998627831,5
IG,fog,5,0.3035111844539642,0.003437912974761805,0.5740099310874939,0.0018655527302768719,0.15887657403945918,0.0010098588804011916,0.3346936464309692,0.009304817390588593,2.018613505363464,0.07247685249600533,0.02136590480804438,0.0015453223027343712,0.3887403726577759,0.019004037703727144,5
IG,gaussian_noise,1,0.4918341636657715,0.0055844575083291124,0.7159584045410157,0.0045453323320647785,0.25293565094470977,0.004825087761014597,0.11965541243553157,0.007423265556368911,0.9928138732910157,0.05244005212775882,0.00178201198577876,0.0004293757564843536,0.1849837481975555,0.010758700503674322,5
IG,gaussian_noise,2,0.4130945563316345,0.004767153043572145,0.6349361300468445,0.004496711572141886,0.1777103394269943,0.0030470920818496984,0.2771612346172333,0.013498759665827685,1.7240102529525756,0.053638105085229294,0.01650438308715814,0.0017347183350240073,0.3495680034160614,0.011989400861740945,5
IG,gaussian_noise,3,0.36408242583274836,0.004406117131210342,0.5858340978622436,0.0033075465045105524,0.1372120141983032,0.0017243836864585967,0.45757189989089964,0.01458399042017368,2.3878495693206787,0.06009195057150413,0.0504142045974731,0.004010984273700395,0.5116515994071961,0.01930840863458278,5
IG,gaussian_noise,5,0.32702561020851134,0.004412046277544769,0.5556137919425964,0.002954663057167449,0.1158356055617332,0.001147214694862812,0.6114554524421691,0.016516918958160605,2.673591423034668,0.06646684944025907,0.09756820201873774,0.005199311095121117,0.5759553194046021,0.02494744050377703,5
