explainer,corruption,severity,rho_mean,rho_sd,cos_mean,cos_sd,iou_mean,iou_sd,p_shift_mean,p_shift_sd,margin_shift_mean,margin_shift_sd,mmd_mean,mmd_sd,dE_abs_mean,dE_abs_sd,n_seeds
GradCAM,brightness,1,0.9693159699440003,0.004416980474468325,0.9934346199035644,0.0011586445737580655,0.9298131704330445,0.0067445763001651145,0.00793504286557432,0.0012018042762396266,0.14046124815940852,0.015724671052631256,0.0,0.0,0.028640745207667316,0.0034607154544484837,5
GradCAM,brightness,2,0.919114625453949,0.008549993351293025,0.9800389885902405,0.0021885540864358633,0.8637150287628174,0.007334716710402356,0.01371581051498646,0.002087730352349035,0.27047895789146426,0.022711661091509055,0.0,0.0,0.055381215363740875,0.006447246527446838,5
GradCAM,brightness,3,0.862734603881836,0.012631036241770227,0.9641481637954712,0.0029764473230873556,0.8033875823020935,0.012170399078419233,0.01824567224830384,0.003340563947497645,0.3855962574481964,0.02938717780225965,0.0,0.0,0.08131947517395016,0.007740291682051098,5
GradCAM,brightness,5,0.673283326625824,0.01873277203206729,0.9083625078201294,0.004835444684722918,0.6478919744491577,0.010988123759022604,0.03200055994093414,0.0015247050805341326,0.7232932448387146,0.007921445665268442,0.0001407384872436153,0.00014002615639635934,0.16169541776180263,0.0073311010413059825,5
GradCAM,fog,1,0.9243309736251831,0.003951034444079318,0.981317675113678,0.001312331107269388,0.8613803744316101,0.006686311494502328,0.012895671091973721,0.0017397319206880694,0.2465202450752258,0.022458728006799492,0.0,0.0,0.05238372236490246,0.004576962641212564,5
GradCAM,fog,2,0.7737271189689636,0.011531783834860173,0.9377488732337952,0.0034457661120854627,0.7201280474662781,0.01391082921242305,0.0248169776052236,0.0046112972049032605,0.5289281725883483,0.04597880886014004,0.0,0.0,0.11749356240034096,0.010271303143325751,5
GradCAM,fog,3,0.6574229836463928,0.025430599501538413,0.9028725743293762,0.007597657546380475,0.611838448047638,0.02636309471821134,0.03609458580613132,0.002937738795606204,0.7409165859222412,0.05279086039565707,0.00064537525176998,0.00016849138568772066,0.17212091982364652,0.010005643998627831,5
GradCAM,fog,5,0.3264415502548218,0.025714854061450305,0.8057564854621887,0.007151087098899948,0.4077651798725128,0.013758031574373065,0.08034214377403255,0.00802760876040548,1.541987991333008,0.09007696654863176,0.02136590480804438,0.0015453223027343712,0.3887403726577759,0.019004037703727144,5
GradCAM,gaussian_noise,1,0.6526220440864563,0.018840330415451575,0.903464138507843,0.005770624704685448,0.6314905047416687,0.011988581206128963,0.0352815713733434,0.004035249330944091,0.75237637758255,0.0635791093162809,0.00178201198577876,0.0004293757564843536,0.1849837481975555,0.010758700503674322,5
GradCAM,gaussian_noise,2,0.4316532015800476,0.027369279703399123,0.8367050290107727,0.009303109121921137,0.49501618146896365,0.015230352441559404,0.06778694838285441,0.005035740776050604,1.3191339731216432,0.056264794423792876,0.01650438308715814,0.0017347183350240073,0.3495680034160614,0.011989400861740945,5
GradCAM,gaussian_noise,3,0.29735034108161923,0.025207645256792095,0.7967918515205383,0.007741120077462339,0.41210946440696716,0.013436321019910354,0.10651721656322474,0.010317201581537235,1.8658247709274292,0.11514659427984916,0.0504142045974731,0.004010984273700395,0.5116515994071961,0.01930840863458278,5
GradCAM,gaussian_noise,5,0.2187467098236084,0.026899464555035932,0.7732091546058655,0.006412755891581443,0.3818538904190063,0.03820066241005981,0.13728906661272045,0.01659222822846958,2.2511550903320314,0.16413759274296474,0.09756820201873774,0.005199311095121117,0.5759553194046021,0.02494744050377703,5
IG,brightness,1,0.8400126099586487,0.0017252824963065224,0.9513928413391113,0.0010130882157277678,0.6439616203308105,0.0030432984653129902,0.00793504286557432,0.0012018042762396266,0.14046124815940852,0.015724671052631256,0.0,0.0,0.028640745207667316,0.0034607154544484837,5
IG,brightness,2,0.6760406851768493,0.002688953594489336,0.8685703277587891,0.0012045576943343047,0.44118510484695433,0.002406409472658117,0.01371581051498646,0.002087730352349035,0.27047895789146426,0.022711661091509055,0.0,0.0,0.055381215363740875,0.006447246527446838,5
IG,brightness,3,0.5359217166900635,0.004003011758068796,0.7706334710121154,0.002357574778666548,0.3039823830127716,0.0027169715875886634,0.01824567224830384,0.003340563947497645,0.3855962574481964,0.02938717780225965,0.0,0.0,0.08131947517395016,0.007740291682051098,5
IG,brightness,5,0.27980687022209166,0.0024345347823523885,0.5412448644638062,0.0016748378483841303,0.11746449172496791,0.0011621478293005714,0.03200055994093414,0.0015247050805341326,0.7232932448387146,0.007921445665268442,0.0001407384872436153,0.00014002615639635934,0.16169541776180263,0.0073311010413059825,5
IG,fog,1,0.8440159320831299,0.002928432523116636,0.9609482765197754,0.0006842977930693865,0.6914457559585572,0.003859672903486077,0.012895671091973721,0.0017397319206880694,0.2465202450752258,0.022458728006799492,0.0,0.0,0.05238372236490246,0.004576962641212564,5
IG,fog,2,0.6832352042198181,0.005841354497392575,0.8829975962638855,0.002117277486512112,0.4899472534656525,0.004377283191136338,0.0248169776052236,0.0046112972049032605,0.5289281725883483,0.04597880886014004,0.0,0.0,0.11749356240034096,0.010271303143325751,5
IG,fog,3,0.5678460717201232,0.007067935277472952,0.8062573790550231,0.005195778365143026,0.37518631815910336,0.007154527789686301,0.03609458580613132,0.002937738795606204,0.7409165859222412,0.05279086039565707,0.00064537525176998,0.00016849138568772066,0.17212091982364652,0.010005643998627831,5
IG,fog,5,0.32588759660720823,0.0033266682351705754,0.5995297312736512,0.002061547229832514,0.17619700729846952,0.0012845302922588136,0.08034214377403255,0.00802760876040548,1.541987991333008,0.09007696654863176,0.02136590480804438,0.0015453223027343712,0.3887403726577759,0.019004037703727144,5
IG,gaussian_noise,1,0.4973574638366699,0.006284981077993108,0.7237640261650086,0.0050592202107441545,0.26062380075454705,0.0050073719919306574,0.0352815713733434,0.004035249330944091,0.75237637758255,0.0635791093162809,0.00178201198577876,0.0004293757564843536,0.1849837481975555,0.010758700503674322,5
IG,gaussian_noise,2,0.42227754592895506,0.004612445330177361,0.649778938293457,0.00441610379331632,0.1893270462751388,0.003704199874278844,0.06778694838285441,0.005035740776050604,1.3191339731216432,0.056264794423792876,0.01650438308715814,0.0017347183350240073,0.3495680034160614,0.011989400861740945,5
IG,gaussian_noise,3,0.37596566081047056,0.006361302181927271,0.60432368516922,0.004166205954913899,0.14998208582401268,0.0029470630389199105,0.10651721656322474,0.010317201581537235,1.8658247709274292,0.11514659427984916,0.0504142045974731,0.004010984273700395,0.5116515994071961,0.01930840863458278,5
IG,gaussian_noise,5,0.336654531955719,0.005195144967667169,0.5739675521850586,0.0015002904005492986,0.12825751006603237,0.001924146889737513,0.13728906661272045,0.01659222822846958,2.2511550903320314,0.16413759274296474,0.09756820201873774,0.005199311095121117,0.5759553194046021,0.02494744050377703,5
