explainer,corruption,severity,zone,share_mean,share_sd,n_seeds
IG,gaussian_noise,2,Robust,0.633,0.024341322889276214,5
IG,gaussian_noise,2,Silent Drift,0.061399999999999996,0.007536577472566712,5
IG,gaussian_noise,2,Stubborn Failure,0.2414,0.013520355024924458,5
IG,gaussian_noise,3,Expected Failure,0.19039999999999999,0.01874299869284529,5
IG,gaussian_noise,3,Robust,0.3938,0.018820201911775546,5
IG,gaussian_noise,3,Silent Drift,0.11639999999999999,0.007021395872616782,5
IG,gaussian_noise,3,Stubborn Failure,0.2994,0.00909945053286187,5
IG,gaussian_noise,5,Expected Failure,0.3234,0.030088203668547583,5
IG,gaussian_noise,5,Robust,0.23520000000000002,0.011122050170719421,5
IG,gaussian_noise,5,Silent Drift,0.1166,0.00907193474403338,5
IG,gaussian_noise,5,Stubborn Failure,0.32480000000000003,0.014131525041551612,5
