explainer,corruption,severity,score,auc_mean,auc_sd,n_seeds
IG,fog,1,entropy_drift,0.9132164846137052,0.03510427147671117,5
IG,fog,1,explanation_drift,0.6550979550121233,0.06227220829513377,5
IG,fog,2,confidence_drift,0.9920280089321718,0.003296127760076091,5
IG,fog,2,entropy_drift,0.9112345040094375,0.015265949138786527,5
IG,fog,2,explanation_drift,0.7087387780854483,0.03489640570455963,5
IG,fog,3,confidence_drift,0.9959641056836199,0.002180623282486474,5
IG,fog,3,entropy_drift,0.9023253325547289,0.016449553672742492,5
IG,fog,3,explanation_drift,0.7212856743256864,0.02849208339990348,5
IG,fog,5,confidence_drift,0.9964329746129506,0.0017620920457051088,5
IG,fog,5,entropy_drift,0.7721790472592667,0.019686168176602653,5
IG,fog,5,explanation_drift,0.6845199652686983,0.023208988920950517,5
IG,gaussian_noise,1,confidence_drift,0.9958217408675016,0.0010337298473565152,5
IG,gaussian_noise,1,entropy_drift,0.903430435378643,0.012324735664936796,5
IG,gaussian_noise,1,explanation_drift,0.6960574692457889,0.016758495668868043,5
IG,gaussian_noise,2,confidence_drift,0.9964489127342432,0.0009512874661776476,5
IG,gaussian_noise,2,entropy_drift,0.8106328486404578,0.013396055439915379,5
IG,gaussian_noise,2,explanation_drift,0.6679548826105492,0.022533682221785947,5
IG,gaussian_noise,3,confidence_drift,0.9960475497383612,0.0015531771965401587,5
IG,gaussian_noise,3,entropy_drift,0.7409811749811652,0.01699262694170073,5
IG,gaussian_noise,3,explanation_drift,0.6324552640783665,0.013533875046180921,5
IG,gaussian_noise,5,confidence_drift,0.9964681301734226,0.0006966199956159911,5
IG,gaussian_noise,5,entropy_drift,0.6612021907608268,0.02256563152536285,5
IG,gaussian_noise,5,explanation_drift,0.6072513363598926,0.016088834348465853,5
