explainer,corruption,severity,zone,share_mean,share_sd,n_seeds
IG,gaussian_noise,1,Stubborn Failure,0.1366,0.012012493496356202,5
IG,gaussian_noise,2,Expected Failure,0.124,0.011113055385446437,5
IG,gaussian_noise,2,Robust,0.5188,0.027151427218472354,5
IG,gaussian_noise,2,Silent Drift,0.1756,0.015565988564816561,5
IG,gaussian_noise,2,Stubborn Failure,0.18159999999999998,0.015773395322504286,5
IG,gaussian_noise,3,Expected Failure,0.277,0.01581138830084187,5
IG,gaussian_noise,3,Robust,0.2784,0.027673091623452564,5
IG,gaussian_noise,3,Silent Drift,0.2318,0.016315636671610467,5
IG,gaussian_noise,3,Stubborn Failure,0.21280000000000002,0.01070980858839223,5
IG,gaussian_noise,5,Expected Failure,0.46099999999999997,0.031136794953880532,5
IG,gaussian_noise,5,Robust,0.1206,0.01930802941783547,5
IG,gaussian_noise,5,Silent Drift,0.2312,0.010158740079360228,5
IG,gaussian_noise,5,Stubborn Failure,0.1872,0.019253571097331532,5
